date,predicted_revenue,lower_bound,upper_bound
2014-01,2256.490605108045,-3263.7268975382344,7526.208865542554
2014-02,1274.5581567527115,-3904.8636022686505,7015.777541836827
2014-03,7903.126181808683,2342.1770781087152,13286.556200910905
2014-04,9695.629426982168,4406.011644732479,15097.696412459913
2014-05,8342.035995440303,2768.4028849550473,14052.003930212739
2014-06,10617.922922941601,4843.577180183901,16035.01389754423
2014-07,8320.839286809645,3084.381174791952,13694.256544871263
2014-08,10270.52832602018,4964.299211080113,15776.097583719322
2014-09,24586.67940345016,19215.118653284368,29911.059571989284
2014-10,13431.533725537054,8073.342035759965,18843.30149610263
2014-11,35005.46566812278,29396.135110520805,40171.46024529983
2014-12,29631.61797780185,24479.013408762014,35188.3705692924
2015-01,6197.497028935155,496.13399254439,11533.991129172913
2015-02,8700.005172636174,3474.247892728949,14455.52553493073
2015-03,7263.471646641217,1670.2358722820575,12536.391838304873
2015-04,12021.824765848462,6823.148611240677,17243.790457076517
2015-05,10878.17325218246,5742.824575850518,16242.489701105149
2015-06,13735.483248136126,8446.20055336847,18692.63739338498
2015-07,13072.669226454283,7783.5325910821475,18245.977750540074
2015-08,17629.572599629286,12503.104289293358,23222.824818622954
2015-09,23260.19698665631,18394.265745672754,28713.020867735413
2015-10,13345.35531265313,7813.0118241729315,18633.43536127238
2015-11,42233.11182503979,37023.14575961224,47432.758546441844
2015-12,30159.222660718748,24727.318335208038,35232.67085316616
2016-01,10217.612527355674,5228.1942510919025,15530.380141040301
2016-02,16080.779652495983,10864.406227502248,21692.051056406304
2016-03,21302.358936449516,15796.367290957634,26255.475037471017
2016-04,17449.059076148395,12589.07273049076,22954.686025720373
2016-05,15714.640974706086,10578.357320226407,21573.746728920272
2016-06,16872.56077164597,11448.890121854287,22154.57089861855
2016-07,11260.95608294388,6149.794397168617,16470.752310662636
2016-08,7586.19271369632,2368.2960544765683,12719.509539995559
2016-09,39226.14705263484,33744.351379363216,44765.19671680956
2016-10,26226.015624367057,21035.207135505516,31548.579120661132
2016-11,32986.34830949696,27259.893732339413,38280.957418434584
2016-12,40880.242746032585,35359.16171320861,46113.11182160867
2017-01,10723.53324863889,5645.298945801671,16285.243423463433
2017-02,6136.662846384585,1253.714662139965,11655.712281912518
2017-03,20807.659890553285,15370.70917722335,26198.292624427955
2017-04,19729.58623318711,14303.937392203154,24950.62448568021
2017-05,18179.08841438448,12701.804390037756,23646.473238676757
2017-06,19888.53303690657,14410.579575254442,24887.820992416804
2017-07,15941.342575216893,10818.881957183043,21571.292934838864
2017-08,15147.222024623037,9663.23822193757,20460.743138417347
2017-09,38136.75755012086,32880.6422669082,43488.31343468785
2017-10,25953.529408660444,21027.90081568108,31861.32090860933
2017-11,40149.953351734104,34823.674984885976,45411.38305775965
2017-12,41434.27661548482,36276.80059706115,46612.966631821255
2018-01,14594.724642239273,9278.971399882465,19988.900354557016
2018-02,13613.482301219752,8238.695397258047,18623.51711672119
2018-03,20242.673651205583,14785.27953156643,25483.530652402176
2018-04,22035.867006122753,16556.231275044713,26964.151099270777
2018-05,20682.94142466752,15517.15796488275,26283.62338130961
2018-06,22959.518465692126,17771.40084143062,28597.6695919925
2018-07,20663.10268135359,15372.285072133936,25904.35760858487
2018-08,22613.481831040488,17238.37414570014,27984.18392794183
2018-09,36930.32301723097,31830.72339340288,42358.68038162503
2018-10,25775.845186480605,20272.431974270523,30963.939035950763
2018-11,47350.46723399944,42242.42185899258,52572.59574450746
2018-12,41977.28738708101,36449.38259572143,47029.95222180101
